timestamp,source,destination,protocol,length,label
2024-02-28 12:31:19.443668,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.443926,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.444503,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.444521,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.454267,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.457129,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.466506,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.467370,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.467644,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.469501,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.469898,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.470612,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.474698,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.476719,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.484530,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.484569,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.484762,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.486851,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.487261,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.490973,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.495354,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.500985,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.502432,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.502550,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.502557,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.509399,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.522501,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.522710,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.523582,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.523583,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.525294,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.527622,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.536230,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.536248,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.536256,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.536262,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.539568,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.540100,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.540919,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.542528,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.546405,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.546424,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.546432,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.546439,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.549140,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.549488,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.550363,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.550362,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.562513,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.562658,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.562689,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.562917,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.567255,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.571029,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.574716,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.574716,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.576990,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.584932,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.585304,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.585424,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.596147,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.598166,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.598303,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.598328,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.598739,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.601509,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.609721,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.609737,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.609745,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.609751,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.612852,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.613367,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.614169,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.614175,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.624085,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.624730,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.625060,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.626585,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.627325,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.627717,192.168.43.1,192.168.43.61,tcp,54,2
